input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
brazil58,Standard ACO,5,2000,1_over_distance,2.5,0.9,0.4,None,45072.0,41.418
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.0,0.4,None,38447.0,51.422
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.5,0.4,None,37357.0,45.395
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.0,0.4,None,34922.0,46.113
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.5,0.4,None,33912.0,45.925
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.5,None,33814.0,27.157
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.5,None,32600.0,28.012
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.0,0.5,None,29350.0,26.2
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.5,0.5,None,26884.0,26.26
brazil58,Standard ACO,5,2000,1_over_distance,1.0,3.0,0.5,None,29923.0,26.85
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.0,0.5,None,38962.0,27.166
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.5,0.5,None,32708.0,28.769
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.0,0.5,None,29996.0,28.03
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.5,0.5,None,30820.0,30.076
brazil58,Standard ACO,5,2000,1_over_distance,1.5,3.0,0.5,None,31392.0,36.059
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.0,0.5,None,43782.0,41.835
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.5,0.5,None,35156.0,41.166
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.0,0.5,None,31977.0,38.934
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.5,0.5,None,32924.0,38.586
brazil58,Standard ACO,5,2000,1_over_distance,2.0,3.0,0.5,None,30202.0,37.788
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.0,0.5,None,43592.0,41.679
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.5,0.5,None,37702.0,39.205
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.0,0.5,None,38491.0,31.944
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.5,0.5,None,33573.0,37.253
brazil58,Standard ACO,5,2000,1_over_distance,2.5,3.0,0.5,None,32058.0,34.579
brazil58,Standard ACO,5,2000,1_over_distance,3.0,1.0,0.5,None,41803.0,35.196
brazil58,Standard ACO,5,2000,1_over_distance,3.0,1.5,0.5,None,41623.0,37.875
brazil58,Standard ACO,5,2000,1_over_distance,3.0,2.0,0.5,None,36270.0,39.659
brazil58,Standard ACO,5,2000,1_over_distance,3.0,2.5,0.5,None,31308.0,34.486
brazil58,Standard ACO,5,2000,1_over_distance,3.0,3.0,0.5,None,34778.0,37.313
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.0,0.6,None,37963.0,33.618
brazil58,Standard ACO,5,2000,1_over_distance,1.0,1.5,0.6,None,34018.0,32.457
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.0,0.6,None,29504.0,32.448
brazil58,Standard ACO,5,2000,1_over_distance,1.0,2.5,0.6,None,29388.0,31.313
brazil58,Standard ACO,5,2000,1_over_distance,1.0,3.0,0.6,None,29866.0,31.364
